Alabama,blank,blank,blank,blank
Alabama,Marketplace or Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,Marketplace or Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,738,100%
Alabama,Marketplace or Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,Account Transfer Consumers Who Did Not Submit a Marketplace Application,284,38%
Alabama,Marketplace or Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,Consumers Who Applied for Marketplace Coverage and were Determined Medicaid/CHIP-Eligible or Potentially Medicaid/CHIP-Eligible,53,7%
Alabama,Marketplace or Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,Consumers who Applied for Marketplace Coverage and were Determined QHP-Eligible,402,54%
Alabama,Marketplace or Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,Eligible for APTC,319,43%
Alabama,Marketplace or Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,Not Eligible for APTC,83,11%
Alabama,Marketplace or Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,Consumers with a QHP Selection,318,43%
Alabama,blank,blank,blank,blank
Alabama,Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,375,100%
Alabama,Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,Account Transfer Consumers Who Did Not Submit a Marketplace Application,284,76%
Alabama,Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,Consumers Who Applied for Marketplace Coverage and were Determined Medicaid/CHIP-Eligible or Potentially Medicaid/CHIP-Eligible,13,3%
Alabama,Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,Consumers who Applied for Marketplace Coverage and were Determined QHP-Eligible,79,21%
Alabama,Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,Eligible for APTC,64,17%
Alabama,Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,Not Eligible for APTC,15,4%
Alabama,Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,Consumers with a QHP Selection,66,18%
Alabama,blank,blank,blank,blank
Alabama,Marketplace Consumers Not on Account Transfer whose Medicaid or CHIP Coverage was Terminated,Marketplace Consumers Not on Account Transfer whose Medicaid or CHIP Coverage was Terminated,363,NA
Alabama,Marketplace Consumers Not on Account Transfer whose Medicaid or CHIP Coverage was Terminated,Consumers Who Applied for Marketplace Coverage and were Determined Medicaid/CHIP-Eligible or Potentially Medicaid/CHIP-Eligible,40,NA
Alabama,Marketplace Consumers Not on Account Transfer whose Medicaid or CHIP Coverage was Terminated,Consumers who Applied for Marketplace Coverage and were Determined QHP-Eligible,323,NA
Alabama,Marketplace Consumers Not on Account Transfer whose Medicaid or CHIP Coverage was Terminated,Eligible for APTC,255,NA
Alabama,Marketplace Consumers Not on Account Transfer whose Medicaid or CHIP Coverage was Terminated,Not Eligible for APTC,68,NA
Alabama,Marketplace Consumers Not on Account Transfer whose Medicaid or CHIP Coverage was Terminated,Consumers with a QHP Selection,252,NA
Alaska,blank,blank,blank,blank
Alaska,Marketplace or Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,Marketplace or Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,301,100%
Alaska,Marketplace or Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,Account Transfer Consumers Who Did Not Submit a Marketplace Application,92,31%
Alaska,Marketplace or Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,Consumers Who Applied for Marketplace Coverage and were Determined Medicaid/CHIP-Eligible or Potentially Medicaid/CHIP-Eligible,85,28%
Alaska,Marketplace or Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,Consumers who Applied for Marketplace Coverage and were Determined QHP-Eligible,125,42%
Alaska,Marketplace or Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,Eligible for APTC,91,30%
Alaska,Marketplace or Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,Not Eligible for APTC,34,11%
Alaska,Marketplace or Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,Consumers with a QHP Selection,81,27%
Alaska,blank,blank,blank,blank
Alaska,Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,117,100%
Alaska,Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,Account Transfer Consumers Who Did Not Submit a Marketplace Application,92,79%
Alaska,Account Transfer Consumers whose Medicaid or CHIP Coverage was Terminated,Consumers Who Applied for Marketplace Coverage and were Determined Medicaid/CHIP-Eligible or Potentially Medicaid/CHIP-Eligible,18,15%
